GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GenerateCryptoTokenKeysResponse,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetCertificate,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CvcRequestResponse,14,0,2,0,4,0,3,0,2,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,DeleteUserDataFromSourceResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetCertificatesByExpirationTimeAndType,24,0,0,0,10,0,7,0,7,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,MultipleMatchException,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,IsApprovedResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CreateCryptoTokenResponse,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,UserDoesntFullfillEndEntityProfile_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,EndEntityProfileNotFoundException,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,FindUserResponse,14,0,2,0,4,0,3,0,2,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,RevokeTokenResponse,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CAExistsException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CryptoTokenOfflineException,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetAuthorizedEndEntityProfiles,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetLatestCRL,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CADoesntExistsException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,HardTokenDataWS,229,0,0,0,59,0,23,0,23,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,DateNotValidException_Exception,18,0,0,0,7,0,3,0,3,0
